"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,";"buzzardLabel";15;"";;;
2;"K3,K4";"easyC-connector";2;"easyC-SMD";;;
3;"K1";"MC127-140-A01";1;"MIC127-140-A01";;;
4;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
5;"H2,H1,H4,H3";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
6;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
7;"REF**";"Logo-Front-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
8;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
9;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
10;"K2";"HEADER_MALE_14X1";1;"HEADER_MALE_14X1";;;
11;"Ref**";"Version1.0.0.";1;"Val**";;;
